feature1,feature2
1.616671,1.944522
1.256461,1.609444
-2.343919,4.392961
1.195393,2.794485
-3.329586,5.303160
1.902344,2.133443
2.114562,1.567221
2.342121,1.204334
1.874522,2.784332
2.441233,1.998877
1.543221,0.954221
2.112345,1.345112
1.901234,2.344112
2.564123,1.234221
1.876543,1.445231
2.332211,1.665432
1.776542,0.998765
2.445321,2.112345
1.654223,1.334221
2.112343,1.776543
-2.112341,4.556432
-1.998765,5.223441
-2.445211,4.876543
-2.876543,5.112344
-2.334221,4.998765
-1.876543,5.334221
-2.998765,4.556432
-2.112344,5.112343
-3.221134,5.334221
-2.667821,4.876543
-1.445321,4.776543
-2.112343,4.556789
-2.334567,5.112343
-3.112344,4.665432
-2.776543,5.221123
-1.987654,4.776543
-2.345221,5.001234
-2.998765,4.443221
-2.445321,5.112345
-1.776543,4.665432
7.876543,3.221123
8.445211,1.998765
9.112344,-2.112343
6.554321,-4.334221
5.998765,5.112344
7.223441,7.998765
8.334221,2.665432
9.112343,6.998765
6.445211,-3.112344
5.998765,2.998765
7.112343,-4.556432
8.334221,-1.776543
6.998765,3.334221
9.112344,1.556432
7.998765,-2.998765
6.223441,4.221123
8.998765,-3.112344
5.876543,2.112343
9.334221,7.112343
6.998765,1.998765
